name,runtime,objective_value,solver_time_seconds,intra_rack_epr,cross_rack_epr,distilled_epr,split_consumed,batched_epr,collective_batches,avg_epr_wait,peak_buffer,avg_buffer,wait_time,switch_reconfiguration,retry_overhead_hook,split_ratio,latency_local_gate,latency_intra_rack_epr,latency_cross_rack_epr,latency_switch_reconfiguration,latency_wait_time,latency_retry_overhead_hook,latency_distillation
full,87,109.0,0.001295607999963977,22,0,11,0,21,10,3.0303030303030303,6,3.8181818181818183,129.0,0,0.0,0.0,24.0,44.0,0.0,0,129.0,0.0,22.0
no_split,87,109.0,0.0010204430000158027,22,0,11,0,21,10,3.0303030303030303,6,3.8181818181818183,129.0,0,0.0,0.0,24.0,44.0,0.0,0,129.0,0.0,22.0
no_collective,87,109.0,0.007504891000280622,22,0,11,0,21,10,3.0303030303030303,6,3.8181818181818183,129.0,0,0.0,0.0,24.0,44.0,0.0,0,129.0,0.0,22.0
no_distill,45,45.0,0.000614634000157821,12,0,0,0,3,1,7.0,6,4.695652173913044,71.0,0,0.0,0.0,24.0,24.0,0.0,0,71.0,0.0,0.0
